z0_0,z0_1,z0_2,z0_3,z0_4,z0_5,z0_6,z0_7,z0_8,z0_9,z0_10,z0_11,z0_12,z0_13,z0_14,z0_15,z0_16,z0_17,z0_18,z0_19,z0_20,z0_21,z0_22,z0_23,z0_24,z0_25,z0_26,z0_27,z0_28,z0_29,z0_30,z0_31
0.060851492,0.2830296,-0.4345221,0.3605706,0.31976405,-0.5461848,0.587093,0.78173786,-0.098142475,0.3741372,-0.13718258,0.10374941,0.41821653,-0.19111703,0.73277473,-0.17912199,0.45850706,-0.47888893,-0.36169377,0.15186393,-0.1707173,0.20181331,-0.5928785,0.18122803,-0.3981811,0.20048219,-0.2662777,-0.27600813,0.17306362,0.3198355,-0.32795644,-0.47073194
0.060475357,0.2829199,-0.4354986,0.36099344,0.31989968,-0.54663676,0.58699024,0.7825943,-0.09795226,0.3736736,-0.13837887,0.104533106,0.41813383,-0.18980314,0.73284864,-0.17883295,0.45985234,-0.4794823,-0.3611504,0.14985292,-0.16987701,0.20188797,-0.59307647,0.18148713,-0.3979985,0.2011778,-0.26646483,-0.27535012,0.17286557,0.32004905,-0.32976288,-0.47095793
0.056600332,0.28103012,-0.44002563,0.3584798,0.3207159,-0.5507447,0.5867594,0.78918034,-0.09839281,0.37159157,-0.14523104,0.107888326,0.41910157,-0.1829006,0.7336626,-0.17664091,0.46817538,-0.4847871,-0.35748518,0.13822633,-0.16390468,0.20265287,-0.59454906,0.18120456,-0.39655715,0.20602325,-0.26701972,-0.27357504,0.1711354,0.32174128,-0.3419303,-0.47236165
0.060969517,0.283064,-0.4342156,0.36043787,0.3197215,-0.546043,0.5871253,0.7814691,-0.09820218,0.37428266,-0.13680716,0.10350347,0.41824248,-0.19152935,0.73275155,-0.17921269,0.45808488,-0.47870272,-0.36186427,0.152495,-0.17098099,0.20178989,-0.5928164,0.1811467,-0.39823842,0.20026389,-0.26621896,-0.27621463,0.17312577,0.3197685,-0.32738954,-0.470661
0.03833264,0.26784164,-0.4506297,0.3528902,0.32845476,-0.5670705,0.5810883,0.8060154,-0.10728263,0.36894625,-0.1515215,0.124812454,0.42151564,-0.14677817,0.72105664,-0.16110417,0.49280348,-0.49141845,-0.34592998,0.10744825,-0.15571374,0.21418333,-0.59657913,0.17648014,-0.38531533,0.2243031,-0.26487452,-0.26436293,0.16694513,0.32031143,-0.36368868,-0.46888256
0.06036254,0.282887,-0.43579152,0.36112028,0.3199404,-0.5467723,0.58695936,0.7828512,-0.097895205,0.37353456,-0.13873771,0.10476817,0.41810903,-0.18940903,0.7328708,-0.17874625,0.46025586,-0.47966024,-0.36098742,0.14924972,-0.16962498,0.20191035,-0.59313583,0.18156485,-0.39794374,0.20138644,-0.26652098,-0.27515274,0.17280617,0.32011312,-0.3303047,-0.47102574
0.06043844,0.28290915,-0.43559447,0.361035,0.319913,-0.5466811,0.5869801,0.7826784,-0.09793359,0.37362808,-0.13849634,0.10461003,0.41812572,-0.18967414,0.7328559,-0.17880458,0.45998445,-0.47954053,-0.36109704,0.14965549,-0.16979453,0.20189528,-0.5930959,0.18151258,-0.39798057,0.2012461,-0.26648322,-0.27528554,0.17284614,0.32007003,-0.3299402,-0.47098014
0.060950056,0.28305835,-0.4342662,0.3604598,0.3197285,-0.54606634,0.58711994,0.78151345,-0.09819232,0.37425867,-0.13686913,0.103544064,0.4182382,-0.19146131,0.7327554,-0.17919771,0.45815456,-0.47873345,-0.36183614,0.15239085,-0.17093748,0.20179375,-0.59282666,0.18116014,-0.39822894,0.20029992,-0.26622868,-0.27618057,0.17311552,0.31977955,-0.3274831,-0.47067273
0.042960733,0.27222687,-0.44965798,0.35207164,0.32453728,-0.5629392,0.5828393,0.8039226,-0.10301088,0.36832917,-0.15471359,0.11920455,0.42146286,-0.15889394,0.7288664,-0.1673559,0.48858118,-0.49336293,-0.34746397,0.11145517,-0.15411189,0.20970505,-0.5970333,0.17812587,-0.38991618,0.21977384,-0.26631325,-0.2681619,0.16751072,0.32234362,-0.36514995,-0.47247174
0.05004993,0.27742052,-0.44566697,0.35407898,0.32139233,-0.55660397,0.58506286,0.79754674,-0.099414766,0.36926252,-0.15261891,0.11254117,0.4205665,-0.1731267,0.73409265,-0.17355296,0.47916973,-0.4910519,-0.35184732,0.12312484,-0.15702434,0.20511767,-0.5963156,0.17999177,-0.39440578,0.21268733,-0.26721057,-0.27184296,0.16910093,0.3230194,-0.35721105,-0.47401795
0.060806476,0.28301647,-0.43463898,0.3606212,0.3197803,-0.5462389,0.5870807,0.78184044,-0.09811971,0.3740817,-0.1373258,0.103843234,0.41820663,-0.19095977,0.7327836,-0.17908739,0.4586681,-0.47895995,-0.36162874,0.15162317,-0.17061672,0.20182224,-0.5929022,0.18125904,-0.39815927,0.20056546,-0.2663001,-0.2759294,0.17303991,0.31986108,-0.32817268,-0.470759
0.053615965,0.27938557,-0.44259584,0.35647482,0.3210241,-0.5534142,0.58598644,0.79299206,-0.09885841,0.37053046,-0.14859697,0.110008195,0.419769,-0.1784476,0.7338585,-0.17523403,0.4731844,-0.48764136,-0.35491657,0.13134605,-0.16076998,0.20377582,-0.5953539,0.18065202,-0.39557698,0.20905942,-0.26710668,-0.2727859,0.1702085,0.3223236,-0.34889224,-0.47311625
0.057197772,0.28135931,-0.4395111,0.35888118,0.3206542,-0.5502103,0.58691406,0.7884172,-0.0982996,0.371804,-0.14455721,0.10746396,0.41896796,-0.18379202,0.7336234,-0.17692254,0.46717262,-0.4842157,-0.35799938,0.13960366,-0.16453221,0.20242807,-0.5943879,0.18131518,-0.39675337,0.20541546,-0.2670023,-0.27373302,0.17132095,0.3216247,-0.3405366,-0.4722106
0.05441071,0.2798235,-0.44191137,0.35700873,0.320942,-0.5527033,0.58619225,0.791977,-0.09873442,0.37081304,-0.1477006,0.10944364,0.41959125,-0.17963344,0.7338064,-0.1756087,0.47185045,-0.48688126,-0.3556006,0.13317832,-0.16160476,0.20347679,-0.59513956,0.18079916,-0.39583802,0.20825088,-0.26708353,-0.27299607,0.17045532,0.3221685,-0.34703824,-0.4729153
0.061070867,0.28309357,-0.4339525,0.36032397,0.31968492,-0.54592115,0.58715296,0.7812383,-0.09825344,0.3744076,-0.13648482,0.10329231,0.41826478,-0.1918834,0.73273164,-0.17929056,0.4577224,-0.47854283,-0.3620107,0.15303685,-0.17120743,0.20176977,-0.59276307,0.18107688,-0.39828762,0.20007646,-0.26616853,-0.27639195,0.17317913,0.31971094,-0.3269028,-0.47060013
0.06047122,0.28291872,-0.43550935,0.3609981,0.3199012,-0.5466417,0.58698905,0.78260374,-0.09795017,0.3736685,-0.13839205,0.10454173,0.41813293,-0.18978867,0.7328495,-0.17882977,0.45986718,-0.4794888,-0.36114442,0.1498308,-0.16986777,0.20188878,-0.5930786,0.18148999,-0.39799652,0.20118545,-0.26646692,-0.27534288,0.1728634,0.3200514,-0.32978272,-0.47096044
0.06100668,0.28307486,-0.4341192,0.36039615,0.31970808,-0.54599833,0.58713543,0.7813845,-0.09822096,0.37432846,-0.13668902,0.10342608,0.41825065,-0.19165914,0.7327443,-0.17924124,0.45795202,-0.4786441,-0.36191797,0.15269361,-0.17106399,0.20178251,-0.59279686,0.18112111,-0.39825645,0.2001952,-0.26620048,-0.27627963,0.17314534,0.3197474,-0.32721114,-0.4706387
0.057558462,0.2815581,-0.43920043,0.3591235,0.32061696,-0.54988766,0.5870075,0.78795654,-0.098243326,0.37193224,-0.14415038,0.107207745,0.4188873,-0.18433022,0.7335997,-0.1770926,0.46656722,-0.48387074,-0.3583098,0.14043525,-0.16491108,0.20229232,-0.5942906,0.18138196,-0.39687186,0.2050485,-0.2669918,-0.2738284,0.17143297,0.3215543,-0.33969516,-0.47211936
0.038874403,0.26835498,-0.450516,0.35279438,0.3279962,-0.56658685,0.5812933,0.8057704,-0.106782585,0.368874,-0.15189518,0.12415598,0.42150944,-0.14819643,0.72197086,-0.161836,0.4923092,-0.49164608,-0.34610957,0.10791734,-0.15552622,0.21365911,-0.5966323,0.1766728,-0.38585392,0.2237729,-0.26504293,-0.26480764,0.16701134,0.3205493,-0.3638597,-0.4693027
0.060316786,0.2828737,-0.43591037,0.36117175,0.31995687,-0.5468273,0.58694685,0.78295547,-0.097872056,0.3734781,-0.1388833,0.10486354,0.41809896,-0.18924914,0.7328798,-0.17871109,0.4604196,-0.47973245,-0.3609213,0.149005,-0.1695227,0.20191944,-0.5931599,0.18159638,-0.3979215,0.20147109,-0.26654375,-0.27507266,0.17278206,0.3201391,-0.33052453,-0.47105324
0.05719725,0.28135902,-0.43951154,0.35888082,0.32065427,-0.5502108,0.58691394,0.78841794,-0.09829968,0.37180382,-0.1445578,0.10746433,0.41896808,-0.18379125,0.73362345,-0.1769223,0.46717352,-0.4842162,-0.3579989,0.13960245,-0.16453165,0.20242825,-0.59438807,0.18131508,-0.39675322,0.205416,-0.26700234,-0.27373287,0.17132078,0.32162482,-0.34053782,-0.4722107
0.060462244,0.2829161,-0.43553266,0.3610082,0.31990442,-0.5466525,0.5869866,0.78262424,-0.09794563,0.37365744,-0.13842061,0.104560435,0.41813096,-0.18975732,0.7328512,-0.17882288,0.45989928,-0.47950298,-0.36113146,0.14978279,-0.1698477,0.20189056,-0.5930833,0.18149617,-0.39799213,0.20120206,-0.2664714,-0.27532718,0.17285867,0.3200565,-0.32982588,-0.47096583
0.060281478,0.28286338,-0.43600202,0.36121142,0.31996962,-0.54686975,0.5869372,0.7830359,-0.097854204,0.37343463,-0.13899556,0.10493709,0.4180912,-0.18912584,0.73288673,-0.17868397,0.46054584,-0.47978812,-0.3608703,0.14881629,-0.16944386,0.20192644,-0.59317845,0.1816207,-0.3979044,0.20153637,-0.2665613,-0.2750109,0.17276348,0.32015914,-0.33069408,-0.47107443
0.06047503,0.28291982,-0.43549952,0.36099386,0.31989983,-0.5466372,0.5869901,0.78259516,-0.09795208,0.37367317,-0.13837999,0.10453383,0.41813374,-0.18980193,0.7328487,-0.1788327,0.4598536,-0.47948283,-0.3611499,0.14985107,-0.16987625,0.20188802,-0.59307665,0.18148738,-0.39799833,0.20117843,-0.266465,-0.2753495,0.1728654,0.32004926,-0.32976454,-0.47095814
0.046714872,0.27558273,-0.44853923,0.3518384,0.32173672,-0.5595871,0.5841991,0.80180633,-0.09993508,0.3680767,-0.15638037,0.11491011,0.42131233,-0.16815047,0.7343116,-0.17198075,0.48476732,-0.49424157,-0.3489769,0.11543608,-0.15352131,0.20637259,-0.5972151,0.1793743,-0.3933104,0.21608025,-0.26730776,-0.27096108,0.16806512,0.32367018,-0.364991,-0.4748612
0.060922407,0.28305027,-0.43433794,0.36049086,0.31973848,-0.54609954,0.5871124,0.7815764,-0.09817835,0.3742246,-0.136957,0.10360165,0.4182321,-0.19136477,0.73276085,-0.17917648,0.45825344,-0.47877705,-0.36179623,0.15224312,-0.17087576,0.20179923,-0.5928412,0.18117915,-0.39821553,0.20035103,-0.2662424,-0.27613223,0.17310096,0.31979525,-0.3276158,-0.47068933
0.06071595,0.28299007,-0.434874,0.360723,0.31981292,-0.5463476,0.587056,0.78204656,-0.09807393,0.37397012,-0.13761368,0.10403184,0.41818672,-0.19064353,0.7328014,-0.17901783,0.4589919,-0.47910273,-0.36149794,0.15113923,-0.17041448,0.2018402,-0.59294987,0.1813214,-0.3981153,0.20073286,-0.26634514,-0.27577102,0.17299226,0.31991246,-0.3286074,-0.4708134
0.056770943,0.28112411,-0.4398787,0.35859442,0.3206983,-0.5505921,0.58680356,0.7889624,-0.098366186,0.37165222,-0.1450386,0.10776714,0.41906342,-0.18315513,0.7336514,-0.17672133,0.467889,-0.48462394,-0.357632,0.13861963,-0.16408387,0.20258868,-0.59450305,0.18123615,-0.3966132,0.20584969,-0.26701477,-0.27362016,0.17118838,0.321708,-0.34153232,-0.4723185
0.06028202,0.28286356,-0.4360006,0.36121082,0.31996942,-0.5468691,0.58693737,0.7830346,-0.09785448,0.3734353,-0.13899384,0.10493596,0.41809133,-0.18912774,0.7328866,-0.17868438,0.4605439,-0.4797873,-0.36087108,0.14881915,-0.16944507,0.20192634,-0.5931782,0.18162033,-0.39790466,0.20153537,-0.26656106,-0.27501187,0.17276376,0.32015884,-0.33069146,-0.4710741
0.06041304,0.28290173,-0.43566042,0.36106354,0.31992218,-0.5467116,0.5869732,0.7827363,-0.09792074,0.3735968,-0.13857712,0.10466297,0.41812015,-0.1895854,0.7328609,-0.17878506,0.4600753,-0.47958058,-0.36106038,0.14951967,-0.16973776,0.20190033,-0.59310925,0.18153007,-0.39796826,0.20129307,-0.26649585,-0.27524108,0.17283276,0.32008445,-0.3300622,-0.4709954
0.047260955,0.27588364,-0.44806895,0.35220528,0.32168034,-0.5590987,0.5843405,0.80110884,-0.09984988,0.36827087,-0.15576449,0.11452223,0.4211902,-0.16896525,0.73427576,-0.17223817,0.4838508,-0.4937193,-0.3494469,0.11669505,-0.15409489,0.2061671,-0.59706783,0.1794754,-0.39348975,0.2155247,-0.26729184,-0.27110547,0.16823472,0.3235636,-0.36371717,-0.47472313
0.034718603,0.26441732,-0.45138854,0.35352945,0.3315139,-0.5702965,0.5797209,0.8076495,-0.11061838,0.36942813,-0.14902888,0.12919159,0.42155683,-0.13731706,0.7149581,-0.15622225,0.49610066,-0.48990005,-0.3447321,0.104319274,-0.1569646,0.21768035,-0.5962244,0.17519504,-0.38172257,0.22783992,-0.26375103,-0.26139638,0.16650346,0.31872454,-0.36254767,-0.4660798
0.06063524,0.28296655,-0.4350835,0.3608137,0.31984204,-0.54644465,0.5870339,0.78223026,-0.09803312,0.37387064,-0.13787039,0.10419999,0.418169,-0.19036162,0.73281723,-0.17895581,0.45928052,-0.47923005,-0.36138135,0.15070772,-0.1702342,0.20185623,-0.5929923,0.181377,-0.39807615,0.20088212,-0.2663853,-0.27562982,0.17294976,0.31995827,-0.32899502,-0.47086188
0.050466478,0.27765006,-0.44530827,0.35435885,0.32134932,-0.5562314,0.58517075,0.79701465,-0.099349774,0.36941063,-0.15214911,0.11224529,0.42047334,-0.17374824,0.7340653,-0.17374931,0.47847056,-0.4906535,-0.35220584,0.12408516,-0.15746188,0.20496091,-0.5962033,0.18006888,-0.39454257,0.21226355,-0.26719844,-0.2719531,0.16923031,0.32293814,-0.35623932,-0.4739126
0.0521726,0.2785902,-0.4438389,0.35550508,0.32117313,-0.55470526,0.5856126,0.79483557,-0.0990836,0.37001726,-0.15022485,0.11103341,0.42009178,-0.17629394,0.7339533,-0.17455362,0.47560698,-0.48902178,-0.3536743,0.12801847,-0.15925393,0.20431894,-0.5957432,0.18038478,-0.39510295,0.21052782,-0.26714873,-0.27240425,0.1697602,0.3226052,-0.3522593,-0.4734812
