,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
53,53,53,1.09884,407.2667018100525,-4.5125563440415855,-110.88935278677528,0,0,0,0,0,0,0,0,0,0
54,54,54,1.09886,407.14997558428735,-4.444579846596624,-109.06068573218536,0,0,0,0,0,0,0,0,0,0
55,55,55,1.09888,407.0321272573916,-4.384508388675801,-107.22771314846456,0,0,0,0,0,0,0,0,0,0
56,56,56,1.0989,406.9135830731972,-4.264352341812564,-105.39050739821532,0,0,0,0,0,0,0,0,0,0
57,57,57,1.09892,406.7933172166549,-4.219588524669956,-103.54914101120808,0,0,0,0,0,0,0,0,0,0
58,58,58,1.09894,406.67249961179454,-4.11444022332618,-101.70368668138484,0,0,0,0,0,0,0,0,0,0
59,59,59,1.09896,406.5497589633145,-4.084302197153835,-99.8542172642062,0,0,0,0,0,0,0,0,0,0
60,60,60,1.0989799999999998,406.42660326995934,-3.993488582358808,-98.00080577349104,0,0,0,0,0,0,0,0,0,0
61,61,61,1.099,406.3025726859288,-3.8418897524143767,-96.14352537873464,0,0,0,0,0,0,0,0,0,0
62,62,62,1.09902,406.17620519754365,-3.832481958759713,-94.2824494022708,0,0,0,0,0,0,0,0,0,0
63,63,63,1.09904,406.0492869971618,-3.829649328782809,-92.4176513160914,0,0,0,0,0,0,0,0,0,0
64,64,64,1.09906,405.9221801597598,-3.765577756568853,-90.54920473931617,0,0,0,0,0,0,0,0,0,0
65,65,65,1.09908,405.7944576565203,-3.640165668588215,-88.67718343496595,0,0,0,0,0,0,0,0,0,0
66,66,66,1.0991,405.6651888060888,-3.5209227787088886,-86.80166130727034,0,0,0,0,0,0,0,0,0,0
67,67,67,1.09912,405.5342265502176,-3.542879898968867,-84.92271239861459,0,0,0,0,0,0,0,0,0,0
68,68,68,1.09914,405.4032533667728,-3.5030681348817208,-83.0404108866673,0,0,0,0,0,0,0,0,0,0
69,69,69,1.09916,405.27187595508695,-3.401394701954992,-81.15483108150323,0,0,0,0,0,0,0,0,0,0
70,70,70,1.09918,405.13970058997614,-3.237772073215309,-79.26604742255027,0,0,0,0,0,0,0,0,0,0
71,71,71,1.0992,405.00563782920176,-3.1471137392084807,-77.3741344757874,0,0,0,0,0,0,0,0,0,0
72,72,72,1.09922,404.8705011980988,-3.1292243125838213,-75.47916693068119,0,0,0,0,0,0,0,0,0,0
73,73,73,1.09924,404.7351294568092,-3.048989032981533,-73.58121959728845,0,0,0,0,0,0,0,0,0,0
74,74,74,1.09926,404.5991635668374,-2.906329292421379,-71.68036740335438,0,0,0,0,0,0,0,0,0,0
75,75,75,1.09928,404.4616163562454,-2.8359864806854005,-69.77668539123448,0,0,0,0,0,0,0,0,0,0
76,76,76,1.0993,404.3233099870103,-2.7703814617483227,-67.8702487150694,0,0,0,0,0,0,0,0,0,0
77,77,77,1.09932,404.1844601685999,-2.709383513422809,-65.96113263769753,0,0,0,0,0,0,0,0,0,0
78,78,78,1.09934,404.0451828676659,-2.585518137186249,-64.0494125277354,0,0,0,0,0,0,0,0,0,0
79,79,79,1.09936,403.90459199791536,-2.5333508161002705,-62.13516385665414,0,0,0,0,0,0,0,0,0,0
80,80,80,1.09938,403.76364861381086,-2.4181081563221465,-60.21846219567892,0,0,0,0,0,0,0,0,0,0
81,81,81,1.0994,403.62177293001554,-2.3742710878361986,-58.299383212944086,0,0,0,0,0,0,0,0,0,0
82,82,82,1.0994199999999998,403.479603855928,-2.2671574668629235,-56.37800267038457,0,0,0,0,0,0,0,0,0,0
83,83,83,1.09944,403.33635761324126,-2.2311535849306354,-54.45439642079682,0,0,0,0,0,0,0,0,0,0
84,84,84,1.09946,403.1928783051173,-2.131681781267573,-52.528640404896656,0,0,0,0,0,0,0,0,0,0
85,85,85,1.09948,403.0487138663728,-2.035865662889804,-50.60081064819931,0,0,0,0,0,0,0,0,0,0
86,86,86,1.0995,402.904035327706,-1.9435941068110616,-48.67098325815749,0,0,0,0,0,0,0,0,0,0
87,87,87,1.09952,402.75849118949697,-1.9218762444544129,-46.73923442099976,0,0,0,0,0,0,0,0,0,0
88,88,88,1.09954,402.612807189548,-1.836333889925012,-44.80564039894992,0,0,0,0,0,0,0,0,0,0
89,89,89,1.09956,402.4667512612209,-1.6869265605366517,-42.8702775269192,0,0,0,0,0,0,0,0,0,0
90,90,90,1.09958,402.3196858586721,-1.6747767657038326,-40.93322220970235,0,0,0,0,0,0,0,0,0,0
91,91,91,1.0996,402.1723938258744,-1.665588005284343,-38.99455091899661,0,0,0,0,0,0,0,0,0,0
92,92,92,1.09962,402.025032562463,-1.5922544047605491,-37.0543401901724,0,0,0,0,0,0,0,0,0,0
93,93,93,1.09964,401.877407706684,-1.4547457287315553,-35.11266661946223,0,0,0,0,0,0,0,0,0,0
94,94,94,1.09966,401.7291337296916,-1.3199877885239406,-33.169606860796456,0,0,0,0,0,0,0,0,0,0
