,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1,open2,Relay4,Relay3,short1,short2,Relay2,Relay1,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
85,85,85,85,85,1.13362,392.73056,-13.506001,-369.14316,0,0,0,0,0,0,0,0,0,0,0,0,1
86,86,86,86,86,1.13364,387.44437,-12.59621,-283.1997,0,0,0,0,0,0,0,0,0,0,0,0,1
87,87,87,87,87,1.13366,389.80835,-15.350685,-302.91476,0,0,0,0,0,0,0,0,0,0,0,0,1
88,88,88,88,88,1.13368,388.70874,-8.015007,-344.3003,0,0,0,0,0,0,0,0,0,0,0,0,1
89,89,89,89,89,1.1337,391.87,-11.271443,-188.98148,0,0,0,0,0,0,0,0,0,0,0,0,1
90,90,90,90,90,1.1337199999999998,392.77133,-15.252198,-304.90088,0,0,0,0,0,0,0,0,0,0,0,0,1
91,91,91,91,91,1.13374,393.8207,-12.044892,-314.7616,0,0,0,0,0,0,0,0,0,0,0,0,1
92,92,92,92,92,1.13376,391.69128,-16.885185,-275.75192,0,0,0,0,0,0,0,0,0,0,0,0,1
93,93,93,93,93,1.13378,393.29318,-11.39382,-265.34396,0,0,0,0,0,0,0,0,0,0,0,0,1
94,94,94,94,94,1.1338,389.68872,-13.91863,-182.96588,0,0,0,0,0,0,0,0,0,0,0,0,1
95,95,95,95,95,1.13382,389.7357,-6.57297,-286.0596,0,0,0,0,0,0,0,0,0,0,0,0,1
96,96,96,96,96,1.13384,390.43646,-10.760909,-284.95056,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,97,97,97,1.13386,392.32913,-9.68919,-239.00504,0,0,0,0,0,0,0,0,0,0,0,0,1
98,98,98,98,98,1.13388,394.1689,-7.770678,-249.0019,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,99,99,99,1.1339,392.13843,-10.291055,-264.86545,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,1.13392,394.12045,-7.7018104,-319.50272,0,0,0,0,0,0,0,0,0,0,0,0,1
101,101,101,101,101,1.13394,389.6684,-11.693462,-305.41385,0,0,0,0,0,0,0,0,0,0,0,0,1
102,102,102,102,102,1.13396,392.91928,-10.558763,-316.42386,0,0,0,0,0,0,0,0,0,0,0,0,1
103,103,103,103,103,1.13398,389.9103,-12.499137,-201.45303,0,0,0,0,0,0,0,0,0,0,0,0,1
104,104,104,104,104,1.134,395.27637,-14.65137,-323.33878,0,0,0,0,0,0,0,0,0,0,0,0,1
105,105,105,105,105,1.13402,387.49387,-12.907791,-293.09396,0,0,0,0,0,0,0,0,0,0,0,0,1
106,106,106,106,106,1.13404,390.15808,-13.566959,-339.0031,0,0,0,0,0,0,0,0,0,0,0,0,1
107,107,107,107,107,1.1340599999999998,392.5966,-11.531851,-232.55177,0,0,0,0,0,0,0,0,0,0,0,0,1
108,108,108,108,108,1.13408,393.51056,-8.593735,-221.57156,0,0,0,0,0,0,0,0,0,0,0,0,1
109,109,109,109,109,1.1341,392.43198,-12.554449,-319.28687,0,0,0,0,0,0,0,0,0,0,0,0,1
