,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
44,44,44,44,44,44,44,1.17256,-224.1075742611669,387.752644794008,-9.273418718672174,0,0,0,0,0,0,0,0,0,0,0,0,1
45,45,45,45,45,45,45,1.17258,-225.459142639854,387.7691238622804,-9.26823164070932,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,46,46,46,46,46,1.1726,-226.8018102776376,387.785900546234,-9.30762613354442,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,47,47,47,47,47,1.17262,-228.1355241683104,387.8037553589487,-9.391285093017446,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,48,48,48,48,48,1.17264,-229.4602316591076,387.8234627981605,-9.51887466730514,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,49,49,49,49,49,1.17266,-230.77588045288155,387.8468380798486,-9.625415449205097,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,50,50,50,50,50,1.17268,-232.08241861001125,387.8749344439219,-9.58126478805214,0,0,0,0,0,0,0,0,0,0,0,0,1
51,51,51,51,51,51,51,1.1727,-233.37979455065488,387.90261009191767,-9.579959537679034,0,0,0,0,0,0,0,0,0,0,0,0,1
52,52,52,52,52,52,52,1.17272,-234.6679570566432,387.9306412207708,-9.621188385832337,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,53,53,53,53,53,1.17274,-235.94685527347949,387.9597979183642,-9.704622898329166,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,54,54,54,54,54,1.17276,-237.2164387124868,387.9908438558536,-9.829917658751118,0,0,0,0,0,0,0,0,0,0,0,0,1
55,55,55,55,55,55,55,1.17278,-238.476657252662,388.0256215575114,-9.932052182638255,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,56,56,56,56,56,1.1727999999999998,-239.72746114274625,388.06515945652006,-9.881304652259772,0,0,0,0,0,0,0,0,0,0,0,0,1
57,57,57,57,57,57,57,1.17282,-240.96880100315505,388.1041145338938,-9.871287146776387,0,0,0,0,0,0,0,0,0,0,0,0,1
58,58,58,58,58,58,58,1.17284,-242.2006278278937,388.1432491250689,-9.901682397568496,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,59,59,59,59,59,1.17286,-243.4228929865708,388.1833191545104,-9.972155860779088,0,0,0,0,0,0,0,0,0,0,0,0,1
60,60,60,60,60,60,60,1.17288,-244.6355482262284,388.22507381504414,-10.082355867855425,0,0,0,0,0,0,0,0,0,0,0,0,1
61,61,61,61,61,61,61,1.1729,-245.83854567333609,388.2692552501927,-10.231913782730947,0,0,0,0,0,0,0,0,0,0,0,0,1
62,62,62,62,62,62,62,1.17292,-247.03183783559285,388.3195996427272,-10.226326101175902,0,0,0,0,0,0,0,0,0,0,0,0,1
63,63,63,63,63,63,63,1.17294,-248.21537760387807,388.3709122505469,-10.194567548886663,0,0,0,0,0,0,0,0,0,0,0,0,1
64,64,64,64,64,64,64,1.17296,-249.3891182540792,388.4219626257,-10.201008178161606,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,65,65,65,65,65,1.17298,-250.55301344890344,388.4734883288496,-10.24531372860992,0,0,0,0,0,0,0,0,0,0,0,0,1
66,66,66,66,66,66,66,1.173,-251.7070172397827,388.52621999322525,-10.327132781557328,0,0,0,0,0,0,0,0,0,0,0,0,1
67,67,67,67,67,67,67,1.17302,-252.8510840686024,388.58088099614366,-10.446096926376514,0,0,0,0,0,0,0,0,0,0,0,0,1
68,68,68,68,68,68,68,1.17304,-253.9851687695736,388.6393495412881,-10.537061416799398,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,69,69,69,69,69,1.17306,-255.10922657098408,388.7004596944109,-10.599600441223764,0,0,0,0,0,0,0,0,0,0,0,0,1
70,70,70,70,70,70,70,1.17308,-256.2232130969365,388.7652769027041,-10.568531446983084,0,0,0,0,0,0,0,0,0,0,0,0,1
71,71,71,71,71,71,71,1.1731,-257.3270843691702,388.82980613232166,-10.573006945663634,0,0,0,0,0,0,0,0,0,0,0,0,1
72,72,72,72,72,72,72,1.17312,-258.42079680871774,388.8947548251006,-10.612683565511071,0,0,0,0,0,0,0,0,0,0,0,0,1
73,73,73,73,73,73,73,1.1731399999999998,-259.50430723769455,388.96082311957935,-10.687201044693545,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,74,74,74,74,74,1.17316,-260.5775728809739,389.0287035178078,-10.796182410947122,0,0,0,0,0,0,0,0,0,0,0,0,1
75,75,75,75,75,75,75,1.17318,-261.64055136784646,389.1002874145889,-10.874398391271177,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,76,76,76,76,76,1.1732,-262.69320073376105,389.1743127623228,-10.92140977634174,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,77,77,77,77,77,1.17322,-263.735479421904,389.2510355689872,-10.936804553084816,0,0,0,0,0,0,0,0,0,0,0,0,1
78,78,78,78,78,78,78,1.1732399999999998,-264.7673462849068,389.32914447763386,-10.920158492876928,0,0,0,0,0,0,0,0,0,0,0,0,1
79,79,79,79,79,79,79,1.17326,-265.788760586442,389.40721741104966,-10.935965213158006,0,0,0,0,0,0,0,0,0,0,0,0,1
80,80,80,80,80,80,80,1.17328,-266.7996820028032,389.4859192902181,-10.983865443871172,0,0,0,0,0,0,0,0,0,0,0,0,1
81,81,81,81,81,81,81,1.1733,-267.8000706245713,389.5659072144438,-11.06348363340252,0,0,0,0,0,0,0,0,0,0,0,0,1
82,82,82,82,82,82,82,1.17332,-268.7898869580802,389.6490671893758,-11.109501302220366,0,0,0,0,0,0,0,0,0,0,0,0,1
83,83,83,83,83,83,83,1.17334,-269.76909192710286,389.73403190939325,-11.121476997559286,0,0,0,0,0,0,0,0,0,0,0,0,1
84,84,84,84,84,84,84,1.17336,-270.7376468742861,389.8195350148156,-11.163953548897608,0,0,0,0,0,0,0,0,0,0,0,0,1
85,85,85,85,85,85,85,1.17338,-271.695513562748,389.9062099891608,-11.236552500526926,0,0,0,0,0,0,0,0,0,0,0,0,1
86,86,86,86,86,86,86,1.1734,-272.64265417756013,389.9961507360837,-11.273896812417409,0,0,0,0,0,0,0,0,0,0,0,0,1
87,87,87,87,87,87,87,1.17342,-273.57903132721594,390.0879334220597,-11.275532828083294,0,0,0,0,0,0,0,0,0,0,0,0,1
88,88,88,88,88,88,88,1.17344,-274.50460804516564,390.1800244191825,-11.306055960792946,0,0,0,0,0,0,0,0,0,0,0,0,1
89,89,89,89,89,89,89,1.17346,-275.4193477912086,390.2730322559056,-11.365088405827578,0,0,0,0,0,0,0,0,0,0,0,0,1
90,90,90,90,90,90,90,1.17348,-276.32321445299425,390.36755705529566,-11.452237084575376,0,0,0,0,0,0,0,0,0,0,0,0,1
91,91,91,91,91,91,91,1.1735,-277.21617234742257,390.4660603966015,-11.436969468484946,0,0,0,0,0,0,0,0,0,0,0,0,1
