Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output
1.15956,402.5942218940642,-1.6765493316359406,-42.8702775269041,0,0,0,0,0,0,0,0
1.15958,402.44707449958304,-1.663956694586515,-40.933222209704766,0,0,0,0,0,0,0,0
1.1596,402.29970080258624,-1.654346750333818,-38.99455091899903,0,0,0,0,0,0,0,0
1.15962,402.15225663043617,-1.5805923665606645,-37.05434019019238,0,0,0,0,0,0,0,0
1.15964,402.00454762306896,-1.4426633118910452,-35.112666619464655,0,0,0,0,0,0,0,0
1.15966,401.8561901460373,-1.307506598422556,-33.16960686079888,0,0,0,0,0,0,0,0
1.15968,401.70718170165526,-1.3089369220670255,-31.225237622832125,0,0,0,0,0,0,0,0
1.1597,401.5581550746446,-1.2459409600397784,-29.279635665967778,0,0,0,0,0,0,0,0
1.15972,401.4089540920552,-1.1184989189539103,-27.33287779922212,0,0,0,0,0,0,0,0
1.15974,401.2591914525024,-1.0603461331712232,-25.385040877244712,0,0,0,0,0,0,0,0
1.15976,401.109298302782,-0.9376261883498576,-23.436201797337247,0,0,0,0,0,0,0,0
1.15978,400.9590549894968,-0.8839838740018027,-21.4864374962944,0,0,0,0,0,0,0,0
1.1598,400.808712270389,-0.7656625698340248,-19.535824947507503,0,0,0,0,0,0,0,0
1.15982,400.6580037227389,-0.716208496838233,-17.58444115780238,0,0,0,0,0,0,0,0
1.15984,400.50723294494975,-0.6019737005130686,-15.632363164452077,0,0,0,0,0,0,0,0
1.15986,400.3562613163245,-0.5564130840558451,-13.679668032188594,0,0,0,0,0,0,0,0
1.15988,400.2051801541117,-0.5126797827950461,-11.726432850036876,0,0,0,0,0,0,0,0
1.1599,400.0540403214808,-0.4707083110278269,-9.77273472841278,0,0,0,0,0,0,0,0
1.1599199999999998,399.9028948422354,-0.363782186624615,-7.818650795955211,0,0,0,0,0,0,0,0
1.15994,399.7516846852264,-0.1919108706379264,-5.864258196516532,0,0,0,0,0,0,0,0
1.15996,399.6003439253216,-0.2215126316902673,-3.909634086258517,0,0,0,0,0,0,0,0
1.15998,399.44906447116,-0.1860089338308501,-1.9548556302880904,0,0,0,0,0,0,0,0
1.16,399.29782657746233,-0.0854173832064688,1.540652627552874e-15,0,0,0,0,0,0,0,0
1.16002,399.14656311836205,-0.1858628999744376,1.9548556303057785,0,0,0,0,0,0,0,0
1.16004,398.9953364454936,-0.2210743844798048,3.9096340862408354,0,0,0,0,0,0,0,0
1.16006,398.8441663052286,-0.1910776688036709,5.864258196516534,0,0,0,0,0,0,0,0
1.16008,398.6930724282444,-0.0959011547610071,7.818650795937534,0,0,0,0,0,0,0,0
1.1601,398.542072916106,0.0644251409645293,9.772734728395104,0,0,0,0,0,0,0,0
1.16012,398.3911906921167,0.2898669193988971,11.72643285003688,0,0,0,0,0,0,0,0
1.16014,398.2404438221399,0.580389604423622,13.679668032170929,0,0,0,0,0,0,0,0
1.16016,398.09013707065935,0.7369093461712602,15.632363164434416,0,0,0,0,0,0,0,0
1.16018,397.9401100029039,0.8922478834431213,17.584441157784724,0,0,0,0,0,0,0,0
1.1602,397.7905308159116,0.980136073425584,19.535824947489854,0,0,0,0,0,0,0,0
1.16022,397.6412954828677,1.0669458035519852,21.4864374962944,0,0,0,0,0,0,0,0
1.16024,397.49237711493527,1.1526978887493171,23.43620179731961,0,0,0,0,0,0,0,0
1.1602599999999998,397.34394144485856,1.171189196655579,25.385040877227087,0,0,0,0,0,0,0,0
1.16028,397.195654900774,1.2549060415714417,27.332877799204507,0,0,0,0,0,0,0,0
1.1603,397.0478095121648,1.3376194803716286,29.27963566595017,0,0,0,0,0,0,0,0
1.16032,396.9005251980347,1.353189919006953,31.225237622832125,0,0,0,0,0,0,0,0
1.16034,396.7534953295316,1.3678198111969573,33.1696068607813,0,0,0,0,0,0,0,0
1.16036,396.6066355983897,1.4476177991035053,35.11266661946466,0,0,0,0,0,0,0,0
1.16038,396.46010381471774,1.5925183157306284,37.05434019017482,0,0,0,0,0,0,0,0
1.1604,396.3144858939428,1.6703512967515612,38.99455091898148,0,0,0,0,0,0,0,0
1.16042,396.169453847292,1.6811773131476877,40.933222209704766,0,0,0,0,0,0,0,0
1.16044,396.024608118276,1.7570691481404357,42.87027752688658,0,0,0,0,0,0,0,0
1.16046,395.88014565449765,1.897951203372831,44.80564039895233,0,0,0,0,0,0,0,0
