,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
42,42,42,42,42,42,42,42,1.11092,-88.67718343496739,392.67619757872814,-3.6585437746324807,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,43,43,43,43,43,43,1.11094,-90.54920473931764,392.55291281305614,-3.700109704082928,0,0,0,0,0,0,0,0,0,0,0,0,1
44,44,44,44,44,44,44,44,1.11096,-92.41765131609289,392.4303151656517,-3.7395162397929695,0,0,0,0,0,0,0,0,0,0,0,0,1
45,45,45,45,45,45,45,45,1.11098,-94.28244940223854,392.30826225810085,-3.842063678239472,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,46,46,46,46,46,46,1.111,-96.14352537873609,392.1877652948394,-3.9422486839819446,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,47,47,47,47,47,47,1.11102,-98.00080577345896,392.0685990738828,-4.0399713623250015,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,48,48,48,48,48,48,1.11104,-99.85421726419088,391.95098365779046,-4.06981030570148,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,49,49,49,49,49,49,1.11106,-101.7036866813863,391.833879771334,-4.162327231374345,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,50,50,50,50,50,50,1.1110799999999998,-103.54914101117616,391.7183752945477,-4.252087878210176,0,0,0,0,0,0,0,0,0,0,0,0,1
51,51,51,51,51,51,51,51,1.1111,-105.39050739820011,391.6042184843066,-4.338979510724712,0,0,0,0,0,0,0,0,0,0,0,0,1
52,52,52,52,52,52,52,52,1.11112,-107.2277131484328,391.4914806405084,-4.422892832563087,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,53,53,53,53,53,53,1.11114,-109.06068573218678,391.379891230921,-4.503711243551143,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,54,54,54,54,54,54,1.11116,-110.88935278676018,391.2699207797044,-4.581325882375351,0,0,0,0,0,0,0,0,0,0,0,0,1
55,55,55,55,55,55,55,55,1.11118,-112.71364211960812,391.161289721619,-4.655611264923465,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,56,56,56,56,56,56,1.1112,-114.53348171082882,391.05407027093776,-4.72644594743494,0,0,0,0,0,0,0,0,0,0,0,0,1
57,57,57,57,57,57,57,57,1.11122,-116.34879971630434,390.94796358779627,-4.793701119152591,0,0,0,0,0,0,0,0,0,0,0,0,1
58,58,58,58,58,58,58,58,1.11124,-118.15952447040452,390.843455927951,-4.857256133405208,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,59,59,59,59,59,59,1.11126,-119.96558448878376,390.7402385298286,-4.916973260308885,0,0,0,0,0,0,0,0,0,0,0,0,1
60,60,60,60,60,60,60,60,1.11128,-121.76690847131768,390.63788733091343,-5.0378209968358805,0,0,0,0,0,0,0,0,0,0,0,0,1
61,61,61,61,61,61,61,61,1.1113,-123.5634253047872,390.5376779227468,-5.089442867517316,0,0,0,0,0,0,0,0,0,0,0,0,1
62,62,62,62,62,62,62,62,1.11132,-125.3550640658002,390.4390112053695,-5.1368152899953055,0,0,0,0,0,0,0,0,0,0,0,0,1
63,63,63,63,63,63,63,63,1.11134,-127.14175402354232,390.3415476664063,-5.179788696424584,0,0,0,0,0,0,0,0,0,0,0,0,1
64,64,64,64,64,64,64,64,1.11136,-128.923424642521,390.24483719395727,-5.283254600417892,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,65,65,65,65,65,65,1.11138,-130.70000558546317,390.1500073227424,-5.382000140623613,0,0,0,0,0,0,0,0,0,0,0,0,1
66,66,66,66,66,66,66,66,1.1114,-132.47142671596296,390.0574761307756,-5.410863329100188,0,0,0,0,0,0,0,0,0,0,0,0,1
67,67,67,67,67,67,67,67,1.11142,-134.23761810136352,389.9660157498818,-5.434714381552273,0,0,0,0,0,0,0,0,0,0,0,0,1
68,68,68,68,68,68,68,68,1.11144,-135.99851001546898,389.8751497837495,-5.5183723945260645,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,69,69,69,69,69,69,1.11146,-137.75403294124985,389.7854930374657,-5.661636201099142,0,0,0,0,0,0,0,0,0,0,0,0,1
70,70,70,70,70,70,70,70,1.11148,-139.50411757369878,389.6984792677392,-5.7344054270059885,0,0,0,0,0,0,0,0,0,0,0,0,1
71,71,71,71,71,71,71,71,1.1115,-141.24869482243938,389.6138581453313,-5.7365488834335885,0,0,0,0,0,0,0,0,0,0,0,0,1
72,72,72,72,72,72,72,72,1.1115199999999998,-142.98769581456492,389.5296203858941,-5.7977593158572285,0,0,0,0,0,0,0,0,0,0,0,0,1
73,73,73,73,73,73,73,73,1.11154,-144.72105189730956,389.4464089453992,-5.917828664328088,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,74,74,74,74,74,74,1.11156,-146.44869464071178,389.3654786506677,-6.031651128965097,0,0,0,0,0,0,0,0,0,0,0,0,1
