z5_0,z5_1,z5_2,z5_3,z5_4,z5_5,z5_6,z5_7,z5_8,z5_9,z5_10,z5_11,z5_12,z5_13,z5_14,z5_15,z5_16,z5_17,z5_18,z5_19,z5_20,z5_21,z5_22,z5_23,z5_24,z5_25,z5_26,z5_27,z5_28,z5_29,z5_30,z5_31
-0.03542234,0.05434442,0.008574819,0.022511017,-0.039567024,-0.10804721,0.014833599,0.012964735,0.04351913,0.052606553,0.024984011,0.016891291,0.037280858,0.008667437,0.12695736,0.06307314,-0.0029314929,-0.03272692,-0.13913392,-0.023699503,0.11242927,0.055380926,-0.102241546,-0.024648864,0.036539655,0.09742187,-0.017300356,0.0066436045,-0.013210458,-0.022189599,0.04091916,0.118435584
-0.035404637,0.054250576,0.008870561,0.021715004,-0.039682537,-0.10865068,0.015774185,0.013838181,0.043663353,0.05318985,0.024739355,0.017321682,0.03698299,0.008688837,0.12799543,0.062842414,-0.0027358034,-0.03235133,-0.13933529,-0.02383483,0.11224682,0.055438012,-0.10210808,-0.024945378,0.036426052,0.09742861,-0.01744995,0.006720175,-0.013677062,-0.02208489,0.04133876,0.118626356
-0.035289377,0.05396788,0.008896245,0.021406481,-0.03953717,-0.108715706,0.01586113,0.014162444,0.043769434,0.053097904,0.024729941,0.017397922,0.0367672,0.008664057,0.12824406,0.06268335,-0.002586857,-0.032593198,-0.13925058,-0.023727838,0.112168744,0.055414073,-0.10205998,-0.024777792,0.036483698,0.0974949,-0.017567648,0.0067202235,-0.013563531,-0.0220251,0.04148248,0.11870495
-0.035651106,0.0541617,0.008610357,0.022264507,-0.039513245,-0.10843405,0.015148545,0.013008628,0.04367677,0.052943457,0.02534682,0.016797075,0.036888607,0.008537736,0.12742466,0.06314829,-0.0030801264,-0.032758407,-0.13922302,-0.02337528,0.11266387,0.055509564,-0.10213451,-0.024532966,0.036420595,0.09736795,-0.017123386,0.0066827685,-0.012947534,-0.02188854,0.040924586,0.118477
-0.035343707,0.053937495,0.008995838,0.021192407,-0.03957708,-0.108953744,0.01575258,0.014384447,0.04389719,0.05327721,0.024705647,0.017611986,0.03647022,0.008718153,0.1286731,0.06264738,-0.002595604,-0.032680057,-0.13938972,-0.023560133,0.1121765,0.05551143,-0.10212256,-0.024999596,0.03663061,0.09747399,-0.017592639,0.0067638457,-0.01349198,-0.021762984,0.041551515,0.11885415
-0.03521472,0.05411665,0.008854337,0.02147533,-0.039656386,-0.10867313,0.015494855,0.014032997,0.043716013,0.052775152,0.024771249,0.01736894,0.03675881,0.00877225,0.12833571,0.0626767,-0.0026500677,-0.032786876,-0.13943872,-0.023599207,0.11219965,0.05535925,-0.102176696,-0.024753544,0.03662936,0.097481236,-0.017590795,0.0067876875,-0.013474221,-0.02194256,0.041443884,0.118749805
-0.035341963,0.053714998,0.009037167,0.021051906,-0.03944717,-0.10892494,0.015956387,0.014596213,0.043944187,0.05348003,0.02466288,0.017650723,0.0363787,0.008631216,0.12865746,0.06258565,-0.0024953843,-0.032597706,-0.13916461,-0.023629708,0.112072416,0.05556243,-0.10207022,-0.025031544,0.036615085,0.09751533,-0.01766001,0.006724406,-0.013507324,-0.021776602,0.041570276,0.11883019
-0.035579234,0.053111184,0.00828599,0.021306315,-0.039123036,-0.10971533,0.016546262,0.0124828,0.04366561,0.054638006,0.027037174,0.01563603,0.035594713,0.008069301,0.12730527,0.06326295,-0.0035758638,-0.032282762,-0.13844268,-0.021950826,0.113505356,0.05559139,-0.10198568,-0.024503812,0.03490492,0.09698729,-0.016489847,0.0074399235,-0.012609919,-0.02124639,0.04026676,0.11852066
-0.03547603,0.054213766,0.008651102,0.02217841,-0.03954838,-0.108373344,0.015093317,0.013218153,0.043658935,0.05276126,0.025085848,0.016970351,0.03698861,0.008640611,0.12746349,0.06301682,-0.0029277527,-0.032817535,-0.13926259,-0.023512747,0.11250894,0.055426277,-0.10217061,-0.024583742,0.03649843,0.097408146,-0.017268844,0.006679807,-0.013128259,-0.022004338,0.041066997,0.11854775
-0.035253126,0.054073397,0.008789761,0.02163526,-0.039558165,-0.10859135,0.015547734,0.0139091015,0.043669462,0.052912477,0.024755009,0.017377194,0.036953714,0.008729827,0.12800138,0.06276146,-0.0026398194,-0.032616794,-0.13926448,-0.023736216,0.11213897,0.055355184,-0.102120586,-0.024825022,0.03658184,0.097520754,-0.017609907,0.006753479,-0.013544035,-0.02207758,0.041358143,0.11863078
