y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.6288828,1.6287985,1.6288041,1.6288712,2.7617142,2.761534,2.7615666,2.7618947,1.7378724,1.7377633,1.7377859,1.7378987,0.46258235,0.46259934,0.46258435,0.46258402
1.6289848,1.6289037,1.6289058,1.6289755,2.7611997,2.7610593,2.7610748,2.7614248,1.7371598,1.7370437,1.7370673,1.737185,0.46248224,0.4624661,0.4624804,0.46248594
1.6292726,1.6291984,1.6291943,1.6292706,2.7598593,2.7596223,2.7596505,2.7599988,1.73518,1.735049,1.7350585,1.7351915,0.4621696,0.46216476,0.46217588,0.46217152
1.6296004,1.629529,1.6295303,1.6296048,2.7583132,2.7579727,2.7580063,2.7583623,1.733118,1.7329664,1.7330042,1.733103,0.4617894,0.46184,0.46183714,0.46178743
1.6281065,1.628005,1.6280642,1.6280683,2.7652013,2.765634,2.7654467,2.7659016,1.7424119,1.7422014,1.7422471,1.7423716,0.46347275,0.46344528,0.46345344,0.46347865
1.6283625,1.6282645,1.628307,1.6283334,2.7641644,2.764324,2.764276,2.7646587,1.7405423,1.7404085,1.7404473,1.7405676,0.46320224,0.4631811,0.46318373,0.46320412
1.6286097,1.6285193,1.6285425,1.6285884,2.7630486,2.7630796,2.763059,2.7634192,1.738826,1.7387195,1.7387519,1.7388538,0.46292913,0.46292296,0.4629231,0.4629316
1.6281177,1.6280193,1.6280751,1.628085,2.7651887,2.765568,2.7654152,2.7658973,1.7419078,1.7417204,1.7417402,1.7418756,0.4634677,0.46348032,0.46345475,0.46347114
1.6288841,1.628802,1.6288084,1.6288732,2.7617817,2.7617218,2.7616942,2.762075,1.7367496,1.7366316,1.7366627,1.7367545,0.46263215,0.46265444,0.46264178,0.4626333
1.6287916,1.6287061,1.6287154,1.6287776,2.7622924,2.7622159,2.7622333,2.7625751,1.7373223,1.7372102,1.7372234,1.7373462,0.46274838,0.46274287,0.46274298,0.46274886
1.6288037,1.6287187,1.6287278,1.6287905,2.7622552,2.7621803,2.7621982,2.7625418,1.7370896,1.7369764,1.7369872,1.7371113,0.46274215,0.4627387,0.46273783,0.46274236
1.6291782,1.6291027,1.6291037,1.6291754,2.760424,2.7603304,2.760303,2.7606778,1.7344099,1.7342855,1.7343184,1.7344006,0.46232432,0.462356,0.46235603,0.4623267
1.6289848,1.6289067,1.6289089,1.6289771,2.7613947,2.7613158,2.7613258,2.7616653,1.7356329,1.7355139,1.7355312,1.7356491,0.46254888,0.4625478,0.46255982,0.46255136
1.6293929,1.6293209,1.6293219,1.6293983,2.7595558,2.759252,2.7593036,2.7596526,1.7335018,1.7333251,1.7333276,1.7334806,0.4620677,0.46216556,0.4621527,0.4620683
1.628584,1.6284951,1.6285219,1.6285661,2.7632601,2.7633574,2.7632806,2.763706,1.7379774,1.7378685,1.7378813,1.7379863,0.46299863,0.4630239,0.46299922,0.4629978
1.6293349,1.629263,1.6292615,1.6293387,2.7598314,2.759608,2.7596486,2.7600007,1.7336407,1.733458,1.7334654,1.7336184,0.46214375,0.46224326,0.46223876,0.46214435
1.6281204,1.6280227,1.6280818,1.6280855,2.765332,2.7657614,2.7656376,2.7660737,1.740871,1.7407361,1.740767,1.7408898,0.4635217,0.46350121,0.46350512,0.46352813
1.6283855,1.6282912,1.6283314,1.6283585,2.764221,2.7644393,2.764405,2.764771,1.7390289,1.7389243,1.7389529,1.7390631,0.4632391,0.46322203,0.46322623,0.46324295
1.6288046,1.6287209,1.6287299,1.6287901,2.7622085,2.7623444,2.7622242,2.7626584,1.7361647,1.7360379,1.7360792,1.7361434,0.46277574,0.46278483,0.46279076,0.46277913
1.6281043,1.6280074,1.6280657,1.6280712,2.7654166,2.7658532,2.7657049,2.7661815,1.7407445,1.7406183,1.74062,1.7407522,0.4635427,0.46355376,0.46353135,0.46354768
1.6292378,1.6291622,1.6291602,1.6292361,2.76018,2.7602055,2.760094,2.7605233,1.7339253,1.7337149,1.7337867,1.7338728,0.46226406,0.46236718,0.46238592,0.46225438
1.6284022,1.6283092,1.628349,1.6283774,2.7641704,2.7644606,2.764406,2.7647862,1.7383732,1.7382652,1.7382983,1.7384056,0.463248,0.46322137,0.463238,0.46325296
1.627587,1.6274778,1.6275867,1.6275343,2.7673612,2.7685952,2.7682624,2.7689054,1.7435759,1.7432922,1.7433379,1.7435027,0.46413904,0.46413308,0.46411783,0.4641476
1.6281463,1.6280485,1.6281071,1.6281141,2.7653697,2.765767,2.7656436,2.7661037,1.7397103,1.7396079,1.7396034,1.7397233,0.46353403,0.46355265,0.4635237,0.46353754
1.6280671,1.6279685,1.6280335,1.628032,2.7656875,2.7661953,2.7660856,2.7665157,1.7401735,1.7400678,1.7400774,1.7402041,0.46362734,0.46362177,0.4636112,0.463632
1.6276535,1.6275438,1.6276503,1.627608,2.7671027,2.7683806,2.7680187,2.7686512,1.7427945,1.7425497,1.7426155,1.7427473,0.46408835,0.4640417,0.46406692,0.46410418
1.6275176,1.6274077,1.6275218,1.6274629,2.7676132,2.769014,2.7686102,2.7693129,1.7436475,1.7433631,1.7434036,1.7435639,0.46422943,0.46422246,0.46421185,0.46424145
1.6286101,1.6285241,1.628548,1.6285919,2.763318,2.7635152,2.7634747,2.7638466,1.7363176,1.7362068,1.7362251,1.7363324,0.46304408,0.4630468,0.4630527,0.46304688
1.6279305,1.6278255,1.6279093,1.6278901,2.7662318,2.7670531,2.7669008,2.7673726,1.7402887,1.7401772,1.7401959,1.740312,0.4638206,0.4637954,0.46379966,0.46382767
1.6272328,1.6271074,1.6272547,1.627163,2.7687304,2.770721,2.7702672,2.7709773,1.7443948,1.7440556,1.744077,1.7442081,0.4646105,0.46458182,0.46458367,0.46461523
1.628162,1.6280676,1.6281252,1.6281326,2.7654936,2.7659874,2.7658474,2.766325,1.7379068,1.7378016,1.7378074,1.7379105,0.46359742,0.4636183,0.4635953,0.46360108
