y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.649687,1.6496105,1.6496162,1.6496866,2.6585934,2.6583881,2.6582963,2.6585782,1.6852869,1.6851836,1.6852152,1.6853101,0.43848157,0.43846285,0.4384535,0.43847895
1.6501409,1.6500657,1.6500638,1.6501381,2.657031,2.6567914,2.6567373,2.6570253,1.6829638,1.6828634,1.6828669,1.6829813,0.43810776,0.43810567,0.4381124,0.43809703
1.6491756,1.6490945,1.6490973,1.6491696,2.6605365,2.6603131,2.660237,2.6605167,1.6875407,1.6874362,1.6874508,1.6875592,0.43895456,0.43891457,0.43890277,0.43895206
1.6503423,1.6502652,1.6502615,1.6503334,2.6564217,2.6561608,2.656129,2.656416,1.6820902,1.6819446,1.6819365,1.6820813,0.43796116,0.43800017,0.43800685,0.43797484
1.6500963,1.650017,1.6500185,1.6500974,2.6573923,2.6571658,2.6570954,2.6573937,1.6827013,1.6825802,1.6825904,1.6827335,0.4382067,0.43821672,0.4382259,0.43818307
1.6500086,1.6499295,1.6499362,1.6500043,2.6577537,2.65753,2.6574583,2.6577463,1.6829082,1.6827788,1.6827863,1.6829189,0.4382684,0.43830216,0.43829787,0.43827087
1.6498227,1.6497414,1.6497452,1.6498265,2.658441,2.6582284,2.6581426,2.6584425,1.683518,1.6834224,1.6834317,1.6835665,0.43846256,0.43844488,0.4384595,0.4384563
1.647965,1.6478794,1.6478864,1.6479682,2.6651747,2.6649828,2.6648653,2.6651497,1.6927611,1.6926533,1.6926731,1.6928176,0.44004035,0.43999508,0.43999013,0.44003293
1.6497397,1.6496601,1.6496596,1.6497405,2.6589398,2.658712,2.658641,2.6589425,1.6834818,1.6833624,1.683351,1.6835116,0.43856308,0.43858913,0.4386055,0.43856618
1.6485727,1.6484876,1.6484882,1.6485639,2.6633048,2.66308,2.6629965,2.6632848,1.68843,1.6883262,1.6883378,1.6884576,0.4396203,0.43958256,0.43957132,0.4396176
1.6489171,1.6488341,1.648841,1.6489149,2.662222,2.661994,2.661913,2.662215,1.686063,1.6859651,1.6859725,1.6861054,0.43937042,0.43934247,0.43934208,0.4393588
1.6489501,1.6488656,1.6488719,1.6489515,2.6621416,2.6619108,2.661833,2.662137,1.6857818,1.6856871,1.6856856,1.6858379,0.4393522,0.43932602,0.4393364,0.4393644
1.6481715,1.6480856,1.6480815,1.6481614,2.6652315,2.6650124,2.664915,2.66521,1.688729,1.6886249,1.6886467,1.6887573,0.4400835,0.44005087,0.4400399,0.44008806
1.6483339,1.6482472,1.6482425,1.6483227,2.6647124,2.6644852,2.6643977,2.6646955,1.6876539,1.6875508,1.687583,1.6876782,0.43996403,0.43993548,0.43992758,0.43996713
1.6488211,1.6487365,1.6487342,1.6488111,2.662963,2.6627204,2.6626523,2.6629572,1.6855049,1.6853771,1.6853889,1.6855229,0.43953136,0.4395579,0.4395552,0.4395348
1.646802,1.6467192,1.6467288,1.6467974,2.6703627,2.6702142,2.670049,2.6703303,1.6953336,1.6952091,1.6952115,1.6953529,0.4412842,0.4412388,0.44121826,0.44127604
1.6470345,1.6469496,1.6469569,1.6470346,2.6695914,2.6694443,2.669276,2.6695652,1.6937822,1.6936736,1.6936948,1.693831,0.4411094,0.44106612,0.44105205,0.4410995
1.6471189,1.6470345,1.6470336,1.6471225,2.669355,2.6691942,2.6690414,2.6693363,1.6930298,1.6929313,1.6929377,1.6930945,0.44104245,0.4410168,0.44101548,0.4410449
1.647341,1.6472532,1.6472551,1.6473458,2.66855,2.6683803,2.668236,2.668541,1.6918856,1.691787,1.6918029,1.6919631,0.44085142,0.4408318,0.44083753,0.4408525
1.6471084,1.6470228,1.6470253,1.6471124,2.6694603,2.6692977,2.6691453,2.6694458,1.6928682,1.6927723,1.6927841,1.6929414,0.4410683,0.4410443,0.44104695,0.44107273
1.6471145,1.6470312,1.6470332,1.6471158,2.6694522,2.6692963,2.669139,2.669433,1.6927127,1.6926091,1.6926221,1.6927612,0.44108537,0.44104388,0.4410328,0.44107834
1.6474246,1.6473315,1.6473353,1.6474177,2.6683557,2.6681638,2.668041,2.66833,1.6910815,1.6909853,1.6910139,1.6911137,0.44082928,0.44079155,0.44078594,0.44082844
1.6474508,1.6473589,1.6473658,1.6474494,2.668407,2.6682305,2.66809,2.6683993,1.6903448,1.6902483,1.6902856,1.6904004,0.44084448,0.44081256,0.44080922,0.44084236
1.6475353,1.6474429,1.6474438,1.64753,2.6681294,2.667938,2.6678112,2.668119,1.6898302,1.6897318,1.6897483,1.6898786,0.44078064,0.4407497,0.44074738,0.44077328
1.6469121,1.6468265,1.6468296,1.6469066,2.6704984,2.6703007,2.6701798,2.6704693,1.6926879,1.6925863,1.6926111,1.6927121,0.44133967,0.44129995,0.44128978,0.4413376
1.6477741,1.647682,1.6476871,1.6477665,2.6673462,2.6671467,2.6670284,2.6673496,1.6882707,1.6881707,1.6881931,1.6883183,0.44059223,0.44057465,0.4405735,0.4405952
1.6470248,1.6469388,1.6469388,1.6470183,2.6700957,2.6699018,2.6697786,2.6700747,1.6920469,1.6919376,1.6919659,1.6920662,0.44124582,0.441208,0.44119367,0.4412476
1.6480311,1.6479349,1.647933,1.6480285,2.666478,2.6662652,2.6661623,2.666502,1.6872487,1.687125,1.6871238,1.6873115,0.44037837,0.44040704,0.4404246,0.4404001
1.6462045,1.6461215,1.6461295,1.6462014,2.6732736,2.6730876,2.6729527,2.6732593,1.6958382,1.6957235,1.6957414,1.6958648,0.44198105,0.44194517,0.4419274,0.44198546
1.6473254,1.6472311,1.6472361,1.6473215,2.6691396,2.6689491,2.6688228,2.6691391,1.6900076,1.6899121,1.6899375,1.6900638,0.44102603,0.44099608,0.44099957,0.4410254
1.6468087,1.646727,1.6467296,1.646807,2.6710618,2.670868,2.6707447,2.6710465,1.6924838,1.6923817,1.6924113,1.6925181,0.44147906,0.4414405,0.44143146,0.441483
1.6459451,1.6458621,1.6458702,1.6459471,2.674416,2.6742177,2.6740997,2.6743994,1.6965646,1.6964582,1.6964573,1.6966068,0.44224578,0.44221753,0.44221497,0.44224492
1.6460096,1.6459281,1.6459324,1.6460062,2.6744337,2.6742363,2.6741135,2.6744237,1.695159,1.6950508,1.6950597,1.6951869,0.44226915,0.44223657,0.44221827,0.44227037
1.6463076,1.6462212,1.6462345,1.6463054,2.6736324,2.6734214,2.673306,2.673645,1.6924366,1.6923374,1.6923573,1.6924888,0.44210348,0.4420705,0.4420658,0.44208407
1.6460158,1.6459353,1.6459427,1.6460166,2.6749787,2.674737,2.6746583,2.6749651,1.6928923,1.6928028,1.6928164,1.6929336,0.44242305,0.4423957,0.44239917,0.44242102
1.6459296,1.6458423,1.6458507,1.6459299,2.6753926,2.6751626,2.675073,2.675392,1.6930727,1.6929817,1.6929911,1.6931349,0.44251758,0.44249508,0.44250184,0.44251108
