,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1,open2,Relay4,Relay3,short1,short2,Relay2,Relay1,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
140,140,140,140,140,1.17972,404.41495,-3.6685805,34.4112,0,0,0,0,0,0,0,0,0,0,0,0,1
141,141,141,141,141,1.17974,400.46646,-1.7125027,35.751015,0,0,0,0,0,0,0,0,0,0,0,0,1
142,142,142,142,142,1.17976,402.84647,2.696621,29.829851,0,0,0,0,0,0,0,0,0,0,0,0,1
143,143,143,143,143,1.17978,399.1808,0.1782403,-9.937853,0,0,0,0,0,0,0,0,0,0,0,0,1
144,144,144,144,144,1.1798,399.95685,-5.4568624,36.11541,0,0,0,0,0,0,0,0,0,0,0,0,1
145,145,145,145,145,1.17982,402.5206,-0.137864,5.220457,0,0,0,0,0,0,0,0,0,0,0,0,1
146,146,146,146,146,1.17984,401.10706,-0.29931512,-90.37712,0,0,0,0,0,0,0,0,0,0,0,0,1
147,147,147,147,147,1.17986,399.75854,-3.1875677,37.940624,0,0,0,0,0,0,0,0,0,0,0,0,1
148,148,148,148,148,1.17988,398.8876,-1.287319,-33.31224,0,0,0,0,0,0,0,0,0,0,0,0,1
149,149,149,149,149,1.1799,399.03766,4.102152,-72.147675,0,0,0,0,0,0,0,0,0,0,0,0,1
150,150,150,150,150,1.17992,401.95123,2.0627825,31.599989,0,0,0,0,0,0,0,0,0,0,0,0,1
151,151,151,151,151,1.17994,402.44702,0.2699652,85.786385,0,0,0,0,0,0,0,0,0,0,0,0,1
152,152,152,152,152,1.17996,399.97314,-0.4573962,-28.522238,0,0,0,0,0,0,0,0,0,0,0,0,1
153,153,153,153,153,1.17998,399.98795,-1.112626,24.32095,0,0,0,0,0,0,0,0,0,0,0,0,1
154,154,154,154,154,1.18,401.55753,3.8155186,15.358046,0,0,0,0,0,0,0,0,0,0,0,0,1
155,155,155,155,155,1.1800199999999998,395.7135,-1.9177146,-52.500736,0,0,0,0,0,0,0,0,0,0,0,0,1
156,156,156,156,156,1.18004,400.00845,2.320982,-41.67886,0,0,0,0,0,0,0,0,0,0,0,0,1
157,157,157,157,157,1.18006,401.2078,2.1796875,9.231607,0,0,0,0,0,0,0,0,0,0,0,0,1
158,158,158,158,158,1.18008,399.28207,0.74144006,21.4877,0,0,0,0,0,0,0,0,0,0,0,0,1
159,159,159,159,159,1.1801,395.6552,-4.699074,47.84046,0,0,0,0,0,0,0,0,0,0,0,0,1
160,160,160,160,160,1.1801199999999998,399.68082,1.8434203,-57.52073,0,0,0,0,0,0,0,0,0,0,0,0,1
161,161,161,161,161,1.18014,397.5105,2.42457,85.015015,0,0,0,0,0,0,0,0,0,0,0,0,1
162,162,162,162,162,1.18016,395.95123,-0.18633026,71.215645,0,0,0,0,0,0,0,0,0,0,0,0,1
163,163,163,163,163,1.18018,394.397,-0.19650018,-11.605236,0,0,0,0,0,0,0,0,0,0,0,0,1
164,164,164,164,164,1.1802,399.65936,-0.5195923,61.38945,0,0,0,0,0,0,0,0,0,0,0,0,1
165,165,165,165,165,1.18022,399.13147,-1.2404801,37.047585,0,0,0,0,0,0,0,0,0,0,0,0,1
166,166,166,166,166,1.18024,397.11273,4.9742007,92.998,0,0,0,0,0,0,0,0,0,0,0,0,1
167,167,167,167,167,1.18026,397.99194,-0.7093775,92.44565,0,0,0,0,0,0,0,0,0,0,0,0,1
168,168,168,168,168,1.18028,399.51337,3.3385754,75.422,0,0,0,0,0,0,0,0,0,0,0,0,1
169,169,169,169,169,1.1803,395.11975,2.4225836,40.690605,0,0,0,0,0,0,0,0,0,0,0,0,1
170,170,170,170,170,1.18032,399.2831,-1.0372204,22.420527,0,0,0,0,0,0,0,0,0,0,0,0,1
171,171,171,171,171,1.18034,398.2434,-0.87158036,122.06444,0,0,0,0,0,0,0,0,0,0,0,0,1
172,172,172,172,172,1.18036,395.71335,-0.45465624,-71.324326,0,0,0,0,0,0,0,0,0,0,0,0,1
173,173,173,173,173,1.18038,394.8608,1.5013455,83.20427,0,0,0,0,0,0,0,0,0,0,0,0,1
174,174,174,174,174,1.1804,395.8573,2.4620464,89.71193,0,0,0,0,0,0,0,0,0,0,0,0,1
175,175,175,175,175,1.18042,396.08945,2.7171948,94.2773,0,0,0,0,0,0,0,0,0,0,0,0,1
176,176,176,176,176,1.18044,397.28094,3.8466165,81.295525,0,0,0,0,0,0,0,0,0,0,0,0,1
177,177,177,177,177,1.1804599999999998,393.07587,2.5396237,113.261,0,0,0,0,0,0,0,0,0,0,0,0,1
178,178,178,178,178,1.18048,398.12265,6.8256564,13.476391,0,0,0,0,0,0,0,0,0,0,0,0,1
179,179,179,179,179,1.1805,397.07562,1.1861863,7.6225357,0,0,0,0,0,0,0,0,0,0,0,0,1
180,180,180,180,180,1.18052,396.88425,2.4406161,79.80544,0,0,0,0,0,0,0,0,0,0,0,0,1
181,181,181,181,181,1.18054,398.89172,0.16995144,89.7932,0,0,0,0,0,0,0,0,0,0,0,0,1
182,182,182,182,182,1.18056,394.84253,1.1163359,40.078995,0,0,0,0,0,0,0,0,0,0,0,0,1
183,183,183,183,183,1.18058,394.63004,6.6020923,7.166664,0,0,0,0,0,0,0,0,0,0,0,0,1
184,184,184,184,184,1.1806,395.04922,0.39532495,77.54825,0,0,0,0,0,0,0,0,0,0,0,0,1
185,185,185,185,185,1.18062,395.89224,4.835005,126.3147,0,0,0,0,0,0,0,0,0,0,0,0,1
186,186,186,186,186,1.18064,394.20734,-0.17150784,8.844421,0,0,0,0,0,0,0,0,0,0,0,0,1
187,187,187,187,187,1.18066,394.13025,6.9247527,145.76015,0,0,0,0,0,0,0,0,0,0,0,0,1
188,188,188,188,188,1.18068,393.97815,1.5036447,-0.9959793,0,0,0,0,0,0,0,0,0,0,0,0,1
189,189,189,189,189,1.1807,394.22375,1.286163,28.561016,0,0,0,0,0,0,0,0,0,0,0,0,1
190,190,190,190,190,1.18072,390.33896,2.3093743,154.57236,0,0,0,0,0,0,0,0,0,0,0,0,1
191,191,191,191,191,1.18074,391.8966,4.0820527,119.62403,0,0,0,0,0,0,0,0,0,0,0,0,1
192,192,192,192,192,1.18076,393.8053,3.6675181,118.18645,0,0,0,0,0,0,0,0,0,0,0,0,1
193,193,193,193,193,1.18078,393.9153,2.4406044,-2.953537,0,0,0,0,0,0,0,0,0,0,0,0,1
194,194,194,194,194,1.1807999999999998,392.79312,3.3279507,54.6136,0,0,0,0,0,0,0,0,0,0,0,0,1
195,195,195,195,195,1.18082,392.9419,2.9429963,78.37607,0,0,0,0,0,0,0,0,0,0,0,0,1
196,196,196,196,196,1.18084,394.98825,2.842496,90.58225,0,0,0,0,0,0,0,0,0,0,0,0,1
197,197,197,197,197,1.18086,392.23447,4.977932,145.57516,0,0,0,0,0,0,0,0,0,0,0,0,1
198,198,198,198,198,1.18088,393.68793,4.518774,98.53927,0,0,0,0,0,0,0,0,0,0,0,0,1
199,199,199,199,199,1.1808999999999998,391.68213,6.7182007,71.6765,0,0,0,0,0,0,0,0,0,0,0,0,1
200,200,200,200,200,1.18092,390.3523,6.034576,136.64409,0,0,0,0,0,0,0,0,0,0,0,0,1
